l,m,n,Parity,Re/Im,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
2,0,0,Even,Re,0.010993336034336621,-0.00648466845339219,0.00025178351146673046,0.0008450327939382872,0.00014395460317938183,0.0001922625050878281,0.00017292589645902153,5.999372825163707e-05,9.387325413957923e-06,5.622860492730609e-07
2,0,0,Even,Im,-0.004418296821103803,-0.002085290414843363,0.0022898180393270493,3.347561199664771e-05,-0.0001584754441480026,9.768496264965652e-05,3.987249151222255e-05,-4.036825087655016e-06,-3.0233096714771747e-06,-3.115563768616613e-07
2,0,0,Odd,Re,0.011031214828663281,-0.007561313760171529,0.0008461988809113703,0.0006175511750712562,0.00020061572806640205,0.0004335578242248361,0.0002842185528869524,8.03794333659542e-05,1.0712845170406839e-05,5.533781714471485e-07
2,0,0,Odd,Im,0.0013083162103876436,-0.003637414840590869,0.0011936693296900106,-0.00012480283173453671,-3.6157198594141775e-05,8.671347181914474e-07,-8.800348113200342e-05,-5.192178350512913e-05,-1.094983701349043e-05,-8.142708715117296e-07
2,0,1,Even,Re,0.005273511653335267,-0.005150821815227445,0.0025546186756654848,0.006608279357922614,0.006250678967573265,0.006129163142683892,0.0035141147454828114,0.0010441321053528657,0.0001539697049333111,8.985588334669404e-06
2,0,1,Even,Im,-0.001005390067381426,0.004709896043270855,0.011344499342004814,0.0018079736134873634,-0.00032323471658463363,-0.000775812681867869,-0.001130668890871174,-0.0005747227763149297,-0.00012188224572463157,-9.399622978092652e-06
2,0,1,Odd,Re,0.0036664384688716444,-0.010500547235762384,0.0043374269627601105,0.0048985556521566375,0.0038889432679426075,0.00561770592154858,0.0036427830065631924,0.001107609311588588,0.00016160516041710502,9.192374302269554e-06
2,0,1,Odd,Im,-0.0024956406767962284,-0.016158998039234266,0.00028645086678977185,-0.0062473282683431506,-0.0035104218017279246,-0.0018213679660531558,-0.0016719851124334844,-0.000782644432825695,-0.00016084152411739407,-1.2168193869546725e-05
2,1,0,Even,Re,0.011277824242645531,-0.027527567873659745,-0.04428545949965537,-0.11960572053252452,-0.1505445847923065,-0.11357022378072305,-0.052039742175633216,-0.014099636938835071,-0.0020754303608409145,-0.0001277231300891009
2,1,0,Even,Im,-0.00451274362893985,0.0008097490133903766,0.03330932206342514,0.048839031523985436,0.06110146604671087,0.04536401166497291,0.020540985970241902,0.005526252033480956,0.0008083283658531358,4.944866328381162e-05
2,1,0,Odd,Re,0.011539958988547613,-0.044797829913859034,-0.09169722520083268,-0.2175957554961493,-0.27372703324614117,-0.20715151405379728,-0.09488911281339707,-0.025685614250679664,-0.0037773362503651987,-0.0002322328115770062
2,1,0,Odd,Im,0.0017023743485962992,-0.02958212735885116,-0.08040872447874041,-0.1736411380163616,-0.2187851933424489,-0.1652630272674754,-0.07531996091922022,-0.020335487708242332,-0.002988505230538329,-0.000183700935122888
2,1,1,Even,Re,0.005098742312474114,0.001563412102738673,0.06258345064791146,0.09005952064118111,0.10733183306143942,0.08198499335722184,0.0376353826431709,0.010237069073023145,0.0015122239354390255,9.395079155157086e-05
